State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured
Alabama	2012	2937335	1528419	180043	56890	190312	585091
Alaska	2012	460946	222769	15608	2027	28177	118818
Arizona	2012	3866694	1867954	263076	41042	428972	905320
Arkansas	2012	1761365	871970	106277	39157	114012	432449
California	2012	23798381	12015639	1824564	180861	2275053	5901869
Colorado	2012	3270163	1801613	303179	27254	213045	639004
Delaware	2012	561217	334373	27507	7529	66440	71580
District of Columbia	2012	442390	244553	33871	1884	72620	34557
Connecticut	2012	2233159	1404588	131145	23034	225991	287077
Florida	2012	11578613	5365172	860060	148499	839467	3332786
Georgia	2012	6117277	3181157	345523	82211	332449	1561266
Idaho	2012	944959	475318	89013	10683	45484	217945
Hawaii	2012	833610	483801	49354	7104	82387	79981
Illinois	2012	8006505	4693893	501504	82175	654528	1501494
Indiana	2012	3998258	2368915	220088	53570	251445	782017
Iowa	2012	1862753	1159454	158084	10666	125492	224733
Kansas	2012	1729836	1045580	125214	16433	66156	305904
Kentucky	2012	2685735	1441107	149681	58744	207183	537832
Louisiana	2012	2804831	1354367	186611	38032	227637	696596
Maine	2012	830767	446284	45093	8663	109680	122103
Maryland	2012	3708246	2283628	222499	29476	272874	537043
Massachusetts	2012	4246935	2723588	276915	26325	615070	230866
Michigan	2012	6104749	3528832	355427	66664	583823	1019623
Minnesota	2012	3344084	2153822	256118	27843	293371	353988
Mississippi	2012	1783844	831858	94753	34521	160105	441612
Missouri	2012	3661457	2076235	241232	52583	225577	699830
Montana	2012	616796	299333	59972	7055	30233	153310
Nebraska	2012	1121006	672323	105641	8312	48310	176726
Nevada	2012	1705729	868805	95780	16610	72865	486535
New Hampshire	2012	844577	562833	45402	10951	31545	126941
New Jersey	2012	5520629	3454934	289050	49886	363332	990888
New Mexico	2012	1246884	556849	74898	17972	130230	332057
New York	2012	12402577	7021295	619212	119085	1725758	1909529
North Carolina	2012	5966410	2998318	427027	91540	399356	1401334
North Dakota	2012	436041	272153	42822	3171	14573	57666
Ohio	2012	7076483	4238915	365162	102656	627015	1156364
Oklahoma	2012	2281244	1145883	136313	41015	132905	587283
Oregon	2012	2428162	1292943	189714	24036	188149	518552
Pennsylvania	2012	7867912	4904564	520644	83878	647660	1075431
Rhode Island	2012	666700	399495	39155	6486	57177	103742
South Carolina	2012	2868533	1447858	155081	48126	199523	683224
South Dakota	2012	499064	276142	50939	3718	23803	81811
Tennessee	2012	3971009	2102314	253999	69763	344501	793616
Texas	2012	15858474	7810080	824393	164969	878510	4843493
Vermont	2012	401075	240483	26871	3539	56941	36397
Utah	2012	1677068	1038516	112496	9717	72020	317679
Virginia	2012	5085461	2952411	330933	63242	194892	885395
Washington	2012	4321655	2427627	311228	38348	253994	845791
West Virginia	2012	1140973	605852	34073	25998	94747	247735
Wisconsin	2012	3542388	2236891	224137	28887	319213	441709
