State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured	expand_ever	date_adopted	expand_year	expand
Alabama	2012	2937335	1528419	180043	56890	190312	585091	FALSE	NA	NA	FALSE
Alaska	2012	460946	222769	15608	2027	28177	118818	TRUE	2015-09-01	2015	FALSE
Arizona	2012	3866694	1867954	263076	41042	428972	905320	TRUE	2014-01-01	2014	FALSE
Arkansas	2012	1761365	871970	106277	39157	114012	432449	TRUE	2014-01-01	2014	FALSE
California	2012	23798381	12015639	1824564	180861	2275053	5901869	TRUE	2014-01-01	2014	FALSE
Colorado	2012	3270163	1801613	303179	27254	213045	639004	TRUE	2014-01-01	2014	FALSE
Delaware	2012	561217	334373	27507	7529	66440	71580	TRUE	2014-01-01	2014	FALSE
District of Columbia	2012	442390	244553	33871	1884	72620	34557	TRUE	2014-01-01	2014	FALSE
Connecticut	2012	2233159	1404588	131145	23034	225991	287077	TRUE	2014-01-01	2014	FALSE
Florida	2012	11578613	5365172	860060	148499	839467	3332786	FALSE	NA	NA	FALSE
Georgia	2012	6117277	3181157	345523	82211	332449	1561266	FALSE	NA	NA	FALSE
Idaho	2012	944959	475318	89013	10683	45484	217945	FALSE	NA	NA	FALSE
Hawaii	2012	833610	483801	49354	7104	82387	79981	TRUE	2014-01-01	2014	FALSE
Illinois	2012	8006505	4693893	501504	82175	654528	1501494	TRUE	2014-01-01	2014	FALSE
Indiana	2012	3998258	2368915	220088	53570	251445	782017	TRUE	2015-02-01	2015	FALSE
Iowa	2012	1862753	1159454	158084	10666	125492	224733	TRUE	2014-01-01	2014	FALSE
Kansas	2012	1729836	1045580	125214	16433	66156	305904	FALSE	NA	NA	FALSE
Kentucky	2012	2685735	1441107	149681	58744	207183	537832	TRUE	2014-01-01	2014	FALSE
Louisiana	2012	2804831	1354367	186611	38032	227637	696596	TRUE	2016-07-01	2016	FALSE
Maine	2012	830767	446284	45093	8663	109680	122103	TRUE	2019-01-10	2019	FALSE
Maryland	2012	3708246	2283628	222499	29476	272874	537043	TRUE	2014-01-01	2014	FALSE
Massachusetts	2012	4246935	2723588	276915	26325	615070	230866	TRUE	2014-01-01	2014	FALSE
Michigan	2012	6104749	3528832	355427	66664	583823	1019623	TRUE	2014-04-01	2014	FALSE
Minnesota	2012	3344084	2153822	256118	27843	293371	353988	TRUE	2014-01-01	2014	FALSE
